ID,Title,Description,Launch Date,Developer,Publisher,Price,Discount %,Original Price,Discounted Price,Recent Reviews,Recent Positive %,Recent Review Summary,Total Reviews,Total Positive %,Total Review Summary,Rating Value,Best Rating,Worst Rating,Tags,URL
281990,Stellaris,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.","9 May, 2016",Paradox Development Studio,Paradox Interactive,"39,99€",,,,722,88%,Very Positive,109231,88%,Very Positive,9,10,1,Space;Grand Strategy;Strategy;Sci-fi;4X;Exploration;Sandbox;Simulation;Multiplayer;Real-Time with Pause;Moddable;Singleplayer;Diplomacy;Management;Futuristic;Military;Replay Value;Great Soundtrack;Atmospheric;Procedural Generation,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_2
1013320,Firestone: Online Idle RPG,"Firestone: Online Idle RPG is a multiplayer fantasy game with idle rpg mechanics. Collect heroes🧙‍♂️, upgrade their gear & skills, and sent them in idle battles or go on an incremental clicker frenzy to beat monstrous bosses! Chat with guild friends or engage in PVP⚔️- the choice is in your hands!","26 Sep, 2019",Holyday Studios,Holyday Studios,,,,,60,73%,Mostly Positive,5076,79%,Mostly Positive,7,10,1,Idler;Free to Play;RPG;Clicker;Indie;Adventure;Casual;Early Access;Strategy;Singleplayer;Simulation;Action;Massively Multiplayer;Multiplayer;2D;MMORPG;Fantasy;Auto Battler;Time Management;Combat,https://store.steampowered.com/app/1013320/Firestone_Online_Idle_RPG/?snr=1_7_7_7000_150_2
2338770,NBA 2K24,Experience hoops culture in NBA 2K24. Enjoy loads of action and limitless personalized MyPLAYER options in MyCAREER. Build your perfect lineup in MyTEAM. Feel more responsive gameplay and polished visuals while playing with your favorite NBA and WNBA teams in PLAY NOW.,"7 Sep, 2023",Visual Concepts,2K,"59,99€",,,,"1,413",25%,Mostly Negative,9326,13%,Overwhelmingly Negative,2,10,1,Sports;Simulation;Basketball;eSports;Immersive Sim;3D;Realistic;Management;PvP;Character Customization;Controller;Team-Based;Trading;Co-op;Local Co-Op;Local Multiplayer;Multiplayer;Online Co-Op;Singleplayer;Gambling,https://store.steampowered.com/app/2338770/NBA_2K24/?snr=1_7_7_7000_150_2
1665460,eFootball™ 2024,"The classic action soccer game with the most up-to-date data! Enjoy the fever pitch of """"real soccer"""" in eFootball™ 2024!","29 Sep, 2021",KONAMI,KONAMI,,,,,"1,867",54%,Mixed,64155,39%,Mostly Negative,5,10,1,Football (Soccer);Free to Play;Sports;Multiplayer;Controller;eSports;Simulation;PvP;Local Multiplayer;Co-op;Online Co-Op;Singleplayer;Local Co-Op;Realistic;Comedy;Memes;Violent;LGBTQ+;Anime;Funny,https://store.steampowered.com/app/1665460/eFootball_2024/?snr=1_7_7_7000_150_2
1222670,The Sims™ 4,Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,"2 Sep, 2014",Maxis,Electronic Arts,"9,99€",,,,"2,698",88%,Very Positive,116072,87%,Very Positive,9,10,1,Free to Play;Life Sim;Character Customization;Building;Romance;Sandbox;Singleplayer;Simulation;Dating Sim;Immersive Sim;Relaxing;Cute;Casual;Multiplayer;Funny;Realistic;Family Friendly;Adventure;Cartoony;Fantasy,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_7000_150_2
1326470,Sons Of The Forest,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","23 Feb, 2023",Endnight Games Ltd,Newnight ,"28,99€",,,,"3,643",88%,Very Positive,134715,84%,Very Positive,9,10,1,Survival;Open World;Multiplayer;Survival Horror;Co-op;Base Building;Crafting;Horror;First-Person;Exploration;Adventure;Building;Singleplayer;Atmospheric;Action-Adventure;Sandbox;Action;Simulation;Early Access;Immersive Sim,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_7000_150_2
728880,Overcooked! 2,Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!,"7 Aug, 2018",Ghost Town Games Ltd.;Team17,Team17,,-75%,"22,99€","5,74€",459,89%,Very Positive,38734,90%,Very Positive,9,10,1,Multiplayer;Online Co-Op;Local Co-Op;Co-op;Casual;Funny;Cooking;Indie;4 Player Local;Action;Local Multiplayer;Family Friendly;Cute;Controller;Comedy;Singleplayer;Difficult;Simulation;Strategy;Colorful,https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_7000_150_2
1604030,V Rising,Awaken as a vampire. Hunt for blood in nearby settlements to regain your strength and evade the scorching sun to survive. Raise your castle and thrive in an ever-changing open world full of mystery. Gain allies online and conquer the land of the living.,"17 May, 2022",Stunlock Studios,Stunlock Studios,"19,99€",,,,885,87%,Very Positive,64952,88%,Very Positive,9,10,1,Early Access;Open World;Survival;Base Building;Vampire;Multiplayer;Crafting;PvE;PvP;Online Co-Op;Building;Hack and Slash;Sandbox;Exploration;Massively Multiplayer;Action;Action-Adventure;Adventure;Dark Fantasy;Singleplayer,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_7000_150_2
306130,The Elder Scrolls® Online,"Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required.","4 Apr, 2014",ZeniMax Online Studios,Bethesda Softworks,"19,99€",,,,631,78%,Mostly Positive,115249,83%,Very Positive,9,10,1,RPG;MMORPG;Open World;Adventure;Fantasy;Exploration;Multiplayer;Singleplayer;Massively Multiplayer;Action;Character Customization;PvP;PvE;Lore-Rich;Choose Your Own Adventure;Story Rich;Magic;Class-Based;Action RPG;Atmospheric,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_7000_150_2
4000,Garry's Mod,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,"29 Nov, 2006",Facepunch Studios,Valve,"9,99€",,,,"7,340",96%,Overwhelmingly Positive,866830,96%,Overwhelmingly Positive,10,10,1,Sandbox;Moddable;Physics;Building;Multiplayer;Casual;Singleplayer;Co-op;Online Co-Op;Simulation;First-Person;FPS;Action;Shooter;Indie;Comedy;Funny;PvP;Realistic;Exploration,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_2
648800,Raft,"Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!","20 Jun, 2022",Redbeet Interactive,Axolot Games,"19,99€",,,,"2,540",92%,Very Positive,245315,93%,Very Positive,9,10,1,Survival;Open World Survival Craft;Multiplayer;Co-op;Crafting;Open World;Building;Base Building;Online Co-Op;Adventure;Sandbox;First-Person;Singleplayer;Early Access;Underwater;Simulation;Action;Indie;Strategy;Massively Multiplayer,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_7000_150_2
1158160,Coral Island,"Coral Island is a vibrant and laid-back reimagining of farm sim games. Be who you want and experience enchanting island living at your own pace—live off the land, nurture animals, build relationships with a diverse cast of townsfolk, and make the world around you a more vital and harmonious place.","11 Oct, 2022",Stairway Games,Humble Games,"24,99€",,,,294,91%,Very Positive,6987,91%,Very Positive,9,10,1,Early Access;Farming Sim;Life Sim;Relaxing;Simulation;Agriculture;RPG;Dating Sim;Crafting;Character Customization;Building;Sandbox;Open World;Singleplayer;Casual;Indie;Adventure;Mining;Fishing;Cartoony,https://store.steampowered.com/app/1158160/Coral_Island/?snr=1_7_7_7000_150_2
2050650,Resident Evil 4,"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.","23 Mar, 2023","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","59,99€",,,,"2,499",97%,Overwhelmingly Positive,63470,97%,Overwhelmingly Positive,10,10,1,Action;Horror;Survival Horror;Third-Person Shooter;Zombies;Singleplayer;Survival;Story Rich;Dark;Cinematic;Realistic;Resource Management;Remake;3D;Gore;Psychological Horror;Adventure;Third Person;Action-Adventure;Violent,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_7000_150_2
